0.008,0.005,0.001,0,0.522694671
0.008,0.005,0.001,1,0.26745921
0.008,0.005,0.001,2,0.270042498
0.008,0.005,0.001,3,0.78474061
0.008,0.005,0.001,4,0.074891606
0.008,0.005,0.001,5,0.342979615
0.008,0.005,0.001,6,0.209601899
0.008,0.005,0.001,7,0.950436117
0.008,0.005,0.04,0,0.78764627
0.008,0.005,0.04,1,0.826072901
0.008,0.005,0.04,2,0.13103694
0.008,0.005,0.04,3,0.879465353
0.008,0.005,0.04,4,0.652687953
0.008,0.005,0.04,5,0.894269562
0.008,0.005,0.04,6,0.624675474
0.008,0.005,0.04,7,0.836026059
0.008,0.005,0.08,0,0.915272273
0.008,0.005,0.08,1,0.218882111
0.008,0.005,0.08,2,0.083557181
0.008,0.005,0.08,3,0.448828455
0.008,0.005,0.08,4,0.210473415
0.008,0.005,0.08,5,0.719898079
0.008,0.005,0.08,6,0.126742746
0.008,0.005,0.08,7,0.124192444
0.008,0.005,0.12,0,0.057537128
0.008,0.005,0.12,1,0.102333664
0.008,0.005,0.12,2,0.158845621
0.008,0.005,0.12,3,0.256460504
0.008,0.005,0.12,4,0.952563797
0.008,0.005,0.12,5,0.154838135
0.008,0.005,0.12,6,0.051909527
0.008,0.005,0.12,7,0.988047405
0.008,0.013,0.001,0,0.359687619
0.008,0.013,0.001,1,0.027713541
0.008,0.013,0.001,2,0.970706234
0.008,0.013,0.001,3,0.752666225
0.008,0.013,0.001,4,0.455047335
0.008,0.013,0.001,5,0.761804494
0.008,0.013,0.001,6,0.850449157
0.008,0.013,0.001,7,0.556255957
0.008,0.013,0.04,0,0.193628091
0.008,0.013,0.04,1,0.786762926
0.008,0.013,0.04,2,0.434789752
0.008,0.013,0.04,3,0.610954836
0.008,0.013,0.04,4,0.95014774
0.008,0.013,0.04,5,0.048653333
0.008,0.013,0.04,6,0.274486307
0.008,0.013,0.04,7,0.250593288
0.008,0.013,0.08,0,0.582975939
0.008,0.013,0.08,1,0.785676582
0.008,0.013,0.08,2,0.83260134
0.008,0.013,0.08,3,0.416986363
0.008,0.013,0.08,4,0.556210451
0.008,0.013,0.08,5,0.557300251
0.008,0.013,0.08,6,0.136974313
0.008,0.013,0.08,7,0.061255201
0.008,0.013,0.12,0,0.297306343
0.008,0.013,0.12,1,0.699034107
0.008,0.013,0.12,2,0.267785943
0.008,0.013,0.12,3,0.404403639
0.008,0.013,0.12,4,0.610945127
0.008,0.013,0.12,5,0.79541905
0.008,0.013,0.12,6,0.783681799
0.008,0.013,0.12,7,0.535392423
0.016,0.005,0.001,0,0.803082443
0.016,0.005,0.001,1,0.387907752
0.016,0.005,0.001,2,0.539694508
0.016,0.005,0.001,3,0.157571614
0.016,0.005,0.001,4,0.629778095
0.016,0.005,0.001,5,0.618354928
0.016,0.005,0.001,6,0.080888899
0.016,0.005,0.001,7,0.839895496
0.016,0.005,0.04,0,0.142043839
0.016,0.005,0.04,1,0.754905009
0.016,0.005,0.04,2,0.200933351
0.016,0.005,0.04,3,0.059592732
0.016,0.005,0.04,4,0.035414532
0.016,0.005,0.04,5,0.01899192
0.016,0.005,0.04,6,0.678936649
0.016,0.005,0.04,7,0.646026693
0.016,0.005,0.08,0,0.34436332
0.016,0.005,0.08,1,0.508694644
0.016,0.005,0.08,2,0.835653588
0.016,0.005,0.08,3,0.063762916
0.016,0.005,0.08,4,0.549385807
0.016,0.005,0.08,5,0.604181679
0.016,0.005,0.08,6,0.148148705
0.016,0.005,0.08,7,0.779211778
0.016,0.005,0.12,0,0.292439597
0.016,0.005,0.12,1,0.433343901
0.016,0.005,0.12,2,0.782209754
0.016,0.005,0.12,3,0.1055762
0.016,0.005,0.12,4,0.869846123
0.016,0.005,0.12,5,0.940129754
0.016,0.005,0.12,6,0.763886318
0.016,0.005,0.12,7,0.768084986
0.016,0.013,0.001,0,0.752736094
0.016,0.013,0.001,1,0.071926884
0.016,0.013,0.001,2,0.195398741
0.016,0.013,0.001,3,0.461973088
0.016,0.013,0.001,4,0.272609871
0.016,0.013,0.001,5,0.103946918
0.016,0.013,0.001,6,0.97227789
0.016,0.013,0.001,7,0.743638942
0.016,0.013,0.04,0,0.226145815
0.016,0.013,0.04,1,0.322286361
0.016,0.013,0.04,2,0.862262975
0.016,0.013,0.04,3,0.525321707
0.016,0.013,0.04,4,0.896141874
0.016,0.013,0.04,5,0.606257284
0.016,0.013,0.04,6,0.904799462
0.016,0.013,0.04,7,0.571915353
0.016,0.013,0.08,0,0.59625527
0.016,0.013,0.08,1,0.931894477
0.016,0.013,0.08,2,0.681793572
0.016,0.013,0.08,3,0.779946346
0.016,0.013,0.08,4,0.616164607
0.016,0.013,0.08,5,0.482604166
0.016,0.013,0.08,6,0.506803116
0.016,0.013,0.08,7,0.466559044
0.016,0.013,0.12,0,0.827775077
0.016,0.013,0.12,1,0.819775459
0.016,0.013,0.12,2,0.835812857
0.016,0.013,0.12,3,0.185664869
0.016,0.013,0.12,4,0.943003464
0.016,0.013,0.12,5,0.044270095
0.016,0.013,0.12,6,0.943375139
0.016,0.013,0.12,7,0.217687998
